world,M0,M1
1,0.0,0.8036046377844684
2,0.0,0.8066021741358447
3,0.0,0.8136718630323417
4,0.0,0.811487337956644
5,0.0,0.8152365186035284
6,0.0,0.8112626403315474
7,0.0,0.8156447977260258
8,0.0,0.8144903049980586
9,0.0,0.8051619024157091
10,0.0,0.8132787885595794
