Model,period,boundary,window_size,window_weight,window_type,normalization,encode,representation
M523,yes,yes,7,flat,forward,ppmi,corr,space
M524,yes,yes,7,flat,forward,ppmi,corr,graph
M525,yes,yes,7,flat,forward,ppmi,r_distance,space
M526,yes,yes,7,flat,forward,ppmi,r_distance,graph
M527,yes,yes,7,flat,forward,ppmi,r_cos,space
M528,yes,yes,7,flat,forward,ppmi,r_cos,graph
M529,yes,yes,7,flat,forward,ppmi,r_corr,space
M530,yes,yes,7,flat,forward,ppmi,r_corr,graph
M531,yes,yes,7,flat,forward,ppmi,cooc,space
M532,yes,yes,7,flat,forward,ppmi,cooc,graph
M533,yes,yes,7,flat,forward,non,distance,space
M534,yes,yes,7,flat,forward,non,distance,graph
M535,yes,yes,7,flat,forward,non,cos,space
M536,yes,yes,7,flat,forward,non,cos,graph
M537,yes,yes,7,flat,forward,non,corr,space
M538,yes,yes,7,flat,forward,non,corr,graph
M539,yes,yes,7,flat,forward,non,r_distance,space
M540,yes,yes,7,flat,forward,non,r_distance,graph
M541,yes,yes,7,flat,forward,non,r_cos,space
M542,yes,yes,7,flat,forward,non,r_cos,graph
M543,yes,yes,7,flat,forward,non,r_corr,space
M544,yes,yes,7,flat,forward,non,r_corr,graph
M545,yes,yes,7,flat,forward,non,cooc,space
M546,yes,yes,7,flat,forward,non,cooc,graph
M547,yes,yes,7,flat,backward,log,distance,space
M548,yes,yes,7,flat,backward,log,distance,graph
M549,yes,yes,7,flat,backward,log,cos,space
M550,yes,yes,7,flat,backward,log,cos,graph
M551,yes,yes,7,flat,backward,log,corr,space
M552,yes,yes,7,flat,backward,log,corr,graph
M553,yes,yes,7,flat,backward,log,r_distance,space
M554,yes,yes,7,flat,backward,log,r_distance,graph
M555,yes,yes,7,flat,backward,log,r_cos,space
M556,yes,yes,7,flat,backward,log,r_cos,graph
M557,yes,yes,7,flat,backward,log,r_corr,space
M558,yes,yes,7,flat,backward,log,r_corr,graph
M559,yes,yes,7,flat,backward,log,cooc,space
M560,yes,yes,7,flat,backward,log,cooc,graph
M561,yes,yes,7,flat,backward,ppmi,distance,space
M562,yes,yes,7,flat,backward,ppmi,distance,graph
M563,yes,yes,7,flat,backward,ppmi,cos,space
M564,yes,yes,7,flat,backward,ppmi,cos,graph
M565,yes,yes,7,flat,backward,ppmi,corr,space
M566,yes,yes,7,flat,backward,ppmi,corr,graph
M567,yes,yes,7,flat,backward,ppmi,r_distance,space
M568,yes,yes,7,flat,backward,ppmi,r_distance,graph
M569,yes,yes,7,flat,backward,ppmi,r_cos,space
M570,yes,yes,7,flat,backward,ppmi,r_cos,graph
M571,yes,yes,7,flat,backward,ppmi,r_corr,space
M572,yes,yes,7,flat,backward,ppmi,r_corr,graph
M573,yes,yes,7,flat,backward,ppmi,cooc,space
M574,yes,yes,7,flat,backward,ppmi,cooc,graph
M575,yes,yes,7,flat,backward,non,distance,space
M576,yes,yes,7,flat,backward,non,distance,graph
M577,yes,yes,7,flat,backward,non,cos,space
M578,yes,yes,7,flat,backward,non,cos,graph
M579,yes,yes,7,flat,backward,non,corr,space
M580,yes,yes,7,flat,backward,non,corr,graph
M581,yes,yes,7,flat,backward,non,r_distance,space
M582,yes,yes,7,flat,backward,non,r_distance,graph
M583,yes,yes,7,flat,backward,non,r_cos,space
M584,yes,yes,7,flat,backward,non,r_cos,graph
M585,yes,yes,7,flat,backward,non,r_corr,space
M586,yes,yes,7,flat,backward,non,r_corr,graph
M587,yes,yes,7,flat,backward,non,cooc,space
M588,yes,yes,7,flat,backward,non,cooc,graph
M589,yes,yes,7,flat,summed,log,distance,space
M590,yes,yes,7,flat,summed,log,distance,graph
M591,yes,yes,7,flat,summed,log,cos,space
M592,yes,yes,7,flat,summed,log,cos,graph
M593,yes,yes,7,flat,summed,log,corr,space
M594,yes,yes,7,flat,summed,log,corr,graph
M595,yes,yes,7,flat,summed,log,r_distance,space
M596,yes,yes,7,flat,summed,log,r_distance,graph
M597,yes,yes,7,flat,summed,log,r_cos,space
M598,yes,yes,7,flat,summed,log,r_cos,graph
M599,yes,yes,7,flat,summed,log,r_corr,space
M600,yes,yes,7,flat,summed,log,r_corr,graph
M601,yes,yes,7,flat,summed,log,cooc,space
M602,yes,yes,7,flat,summed,log,cooc,graph
M603,yes,yes,7,flat,summed,ppmi,distance,space
M604,yes,yes,7,flat,summed,ppmi,distance,graph
M605,yes,yes,7,flat,summed,ppmi,cos,space
M606,yes,yes,7,flat,summed,ppmi,cos,graph
M607,yes,yes,7,flat,summed,ppmi,corr,space
M608,yes,yes,7,flat,summed,ppmi,corr,graph
M609,yes,yes,7,flat,summed,ppmi,r_distance,space
M610,yes,yes,7,flat,summed,ppmi,r_distance,graph
M611,yes,yes,7,flat,summed,ppmi,r_cos,space
M612,yes,yes,7,flat,summed,ppmi,r_cos,graph
M613,yes,yes,7,flat,summed,ppmi,r_corr,space
M614,yes,yes,7,flat,summed,ppmi,r_corr,graph
M615,yes,yes,7,flat,summed,ppmi,cooc,space
M616,yes,yes,7,flat,summed,ppmi,cooc,graph
M617,yes,yes,7,flat,summed,non,distance,space
M618,yes,yes,7,flat,summed,non,distance,graph
M619,yes,yes,7,flat,summed,non,cos,space
M620,yes,yes,7,flat,summed,non,cos,graph
M621,yes,yes,7,flat,summed,non,corr,space
M622,yes,yes,7,flat,summed,non,corr,graph
M623,yes,yes,7,flat,summed,non,r_distance,space
M624,yes,yes,7,flat,summed,non,r_distance,graph
M625,yes,yes,7,flat,summed,non,r_cos,space
M626,yes,yes,7,flat,summed,non,r_cos,graph
M627,yes,yes,7,flat,summed,non,r_corr,space
M628,yes,yes,7,flat,summed,non,r_corr,graph
M629,yes,yes,7,flat,summed,non,cooc,space
M630,yes,yes,7,flat,summed,non,cooc,graph
M631,yes,yes,7,linear,forward,log,distance,space
M632,yes,yes,7,linear,forward,log,distance,graph
M633,yes,yes,7,linear,forward,log,cos,space
M634,yes,yes,7,linear,forward,log,cos,graph
M635,yes,yes,7,linear,forward,log,corr,space
M636,yes,yes,7,linear,forward,log,corr,graph
M637,yes,yes,7,linear,forward,log,r_distance,space
M638,yes,yes,7,linear,forward,log,r_distance,graph
M639,yes,yes,7,linear,forward,log,r_cos,space
M640,yes,yes,7,linear,forward,log,r_cos,graph
M641,yes,yes,7,linear,forward,log,r_corr,space
M642,yes,yes,7,linear,forward,log,r_corr,graph
M643,yes,yes,7,linear,forward,log,cooc,space
M644,yes,yes,7,linear,forward,log,cooc,graph
M645,yes,yes,7,linear,forward,ppmi,distance,space
M646,yes,yes,7,linear,forward,ppmi,distance,graph
M647,yes,yes,7,linear,forward,ppmi,cos,space
M648,yes,yes,7,linear,forward,ppmi,cos,graph
M649,yes,yes,7,linear,forward,ppmi,corr,space
M650,yes,yes,7,linear,forward,ppmi,corr,graph
M651,yes,yes,7,linear,forward,ppmi,r_distance,space
M652,yes,yes,7,linear,forward,ppmi,r_distance,graph
M653,yes,yes,7,linear,forward,ppmi,r_cos,space
M654,yes,yes,7,linear,forward,ppmi,r_cos,graph
M655,yes,yes,7,linear,forward,ppmi,r_corr,space
M656,yes,yes,7,linear,forward,ppmi,r_corr,graph
M657,yes,yes,7,linear,forward,ppmi,cooc,space
M658,yes,yes,7,linear,forward,ppmi,cooc,graph
M659,yes,yes,7,linear,forward,non,distance,space
M660,yes,yes,7,linear,forward,non,distance,graph
M661,yes,yes,7,linear,forward,non,cos,space
M662,yes,yes,7,linear,forward,non,cos,graph
M663,yes,yes,7,linear,forward,non,corr,space
M664,yes,yes,7,linear,forward,non,corr,graph
M665,yes,yes,7,linear,forward,non,r_distance,space
M666,yes,yes,7,linear,forward,non,r_distance,graph
M667,yes,yes,7,linear,forward,non,r_cos,space
M668,yes,yes,7,linear,forward,non,r_cos,graph
M669,yes,yes,7,linear,forward,non,r_corr,space
M670,yes,yes,7,linear,forward,non,r_corr,graph
M671,yes,yes,7,linear,forward,non,cooc,space
M672,yes,yes,7,linear,forward,non,cooc,graph
M673,yes,yes,7,linear,backward,log,distance,space
M674,yes,yes,7,linear,backward,log,distance,graph
M675,yes,yes,7,linear,backward,log,cos,space
M676,yes,yes,7,linear,backward,log,cos,graph
M677,yes,yes,7,linear,backward,log,corr,space
M678,yes,yes,7,linear,backward,log,corr,graph
M679,yes,yes,7,linear,backward,log,r_distance,space
M680,yes,yes,7,linear,backward,log,r_distance,graph
M681,yes,yes,7,linear,backward,log,r_cos,space
M682,yes,yes,7,linear,backward,log,r_cos,graph
M683,yes,yes,7,linear,backward,log,r_corr,space
M684,yes,yes,7,linear,backward,log,r_corr,graph
M685,yes,yes,7,linear,backward,log,cooc,space
M686,yes,yes,7,linear,backward,log,cooc,graph
M687,yes,yes,7,linear,backward,ppmi,distance,space
M688,yes,yes,7,linear,backward,ppmi,distance,graph
M689,yes,yes,7,linear,backward,ppmi,cos,space
M690,yes,yes,7,linear,backward,ppmi,cos,graph
M691,yes,yes,7,linear,backward,ppmi,corr,space
M692,yes,yes,7,linear,backward,ppmi,corr,graph
M693,yes,yes,7,linear,backward,ppmi,r_distance,space
M694,yes,yes,7,linear,backward,ppmi,r_distance,graph
M695,yes,yes,7,linear,backward,ppmi,r_cos,space
M696,yes,yes,7,linear,backward,ppmi,r_cos,graph
M697,yes,yes,7,linear,backward,ppmi,r_corr,space
M698,yes,yes,7,linear,backward,ppmi,r_corr,graph
M699,yes,yes,7,linear,backward,ppmi,cooc,space
M700,yes,yes,7,linear,backward,ppmi,cooc,graph
M701,yes,yes,7,linear,backward,non,distance,space
M702,yes,yes,7,linear,backward,non,distance,graph
M703,yes,yes,7,linear,backward,non,cos,space
M704,yes,yes,7,linear,backward,non,cos,graph
M705,yes,yes,7,linear,backward,non,corr,space
M706,yes,yes,7,linear,backward,non,corr,graph
M707,yes,yes,7,linear,backward,non,r_distance,space
M708,yes,yes,7,linear,backward,non,r_distance,graph
M709,yes,yes,7,linear,backward,non,r_cos,space
M710,yes,yes,7,linear,backward,non,r_cos,graph
M711,yes,yes,7,linear,backward,non,r_corr,space
M712,yes,yes,7,linear,backward,non,r_corr,graph
M713,yes,yes,7,linear,backward,non,cooc,space
M714,yes,yes,7,linear,backward,non,cooc,graph
M715,yes,yes,7,linear,summed,log,distance,space
M716,yes,yes,7,linear,summed,log,distance,graph
M717,yes,yes,7,linear,summed,log,cos,space
M718,yes,yes,7,linear,summed,log,cos,graph
M719,yes,yes,7,linear,summed,log,corr,space
M720,yes,yes,7,linear,summed,log,corr,graph
M721,yes,yes,7,linear,summed,log,r_distance,space
M722,yes,yes,7,linear,summed,log,r_distance,graph
M723,yes,yes,7,linear,summed,log,r_cos,space
M724,yes,yes,7,linear,summed,log,r_cos,graph
M725,yes,yes,7,linear,summed,log,r_corr,space
M726,yes,yes,7,linear,summed,log,r_corr,graph
M727,yes,yes,7,linear,summed,log,cooc,space
M728,yes,yes,7,linear,summed,log,cooc,graph
M729,yes,yes,7,linear,summed,ppmi,distance,space
M730,yes,yes,7,linear,summed,ppmi,distance,graph
M731,yes,yes,7,linear,summed,ppmi,cos,space
M732,yes,yes,7,linear,summed,ppmi,cos,graph
M733,yes,yes,7,linear,summed,ppmi,corr,space
M734,yes,yes,7,linear,summed,ppmi,corr,graph
M735,yes,yes,7,linear,summed,ppmi,r_distance,space
M736,yes,yes,7,linear,summed,ppmi,r_distance,graph
M737,yes,yes,7,linear,summed,ppmi,r_cos,space
M738,yes,yes,7,linear,summed,ppmi,r_cos,graph
M739,yes,yes,7,linear,summed,ppmi,r_corr,space
M740,yes,yes,7,linear,summed,ppmi,r_corr,graph
M741,yes,yes,7,linear,summed,ppmi,cooc,space
M742,yes,yes,7,linear,summed,ppmi,cooc,graph
M743,yes,yes,7,linear,summed,non,distance,space
M744,yes,yes,7,linear,summed,non,distance,graph
M745,yes,yes,7,linear,summed,non,cos,space
M746,yes,yes,7,linear,summed,non,cos,graph
M747,yes,yes,7,linear,summed,non,corr,space
M748,yes,yes,7,linear,summed,non,corr,graph
M749,yes,yes,7,linear,summed,non,r_distance,space
M750,yes,yes,7,linear,summed,non,r_distance,graph
M751,yes,yes,7,linear,summed,non,r_cos,space
M752,yes,yes,7,linear,summed,non,r_cos,graph
M753,yes,yes,7,linear,summed,non,r_corr,space
M754,yes,yes,7,linear,summed,non,r_corr,graph
M755,yes,yes,7,linear,summed,non,cooc,space
M756,yes,yes,7,linear,summed,non,cooc,graph
M757,yes,no,1,flat,forward,log,distance,space
M758,yes,no,1,flat,forward,log,distance,graph
M759,yes,no,1,flat,forward,log,cos,space
M760,yes,no,1,flat,forward,log,cos,graph
M761,yes,no,1,flat,forward,log,corr,space
M762,yes,no,1,flat,forward,log,corr,graph
M763,yes,no,1,flat,forward,log,r_distance,space
M764,yes,no,1,flat,forward,log,r_distance,graph
M765,yes,no,1,flat,forward,log,r_cos,space
M766,yes,no,1,flat,forward,log,r_cos,graph
M767,yes,no,1,flat,forward,log,r_corr,space
M768,yes,no,1,flat,forward,log,r_corr,graph
M769,yes,no,1,flat,forward,log,cooc,space
M770,yes,no,1,flat,forward,log,cooc,graph
M771,yes,no,1,flat,forward,ppmi,distance,space
M772,yes,no,1,flat,forward,ppmi,distance,graph
M773,yes,no,1,flat,forward,ppmi,cos,space
M774,yes,no,1,flat,forward,ppmi,cos,graph
M775,yes,no,1,flat,forward,ppmi,corr,space
M776,yes,no,1,flat,forward,ppmi,corr,graph
M777,yes,no,1,flat,forward,ppmi,r_distance,space
M778,yes,no,1,flat,forward,ppmi,r_distance,graph
M779,yes,no,1,flat,forward,ppmi,r_cos,space
M780,yes,no,1,flat,forward,ppmi,r_cos,graph
M781,yes,no,1,flat,forward,ppmi,r_corr,space
M782,yes,no,1,flat,forward,ppmi,r_corr,graph
M783,yes,no,1,flat,forward,ppmi,cooc,space
M784,yes,no,1,flat,forward,ppmi,cooc,graph
M785,yes,no,1,flat,forward,non,distance,space
M786,yes,no,1,flat,forward,non,distance,graph
M787,yes,no,1,flat,forward,non,cos,space
M788,yes,no,1,flat,forward,non,cos,graph
M789,yes,no,1,flat,forward,non,corr,space
M790,yes,no,1,flat,forward,non,corr,graph
M791,yes,no,1,flat,forward,non,r_distance,space
M792,yes,no,1,flat,forward,non,r_distance,graph
M793,yes,no,1,flat,forward,non,r_cos,space
M794,yes,no,1,flat,forward,non,r_cos,graph
M795,yes,no,1,flat,forward,non,r_corr,space
M796,yes,no,1,flat,forward,non,r_corr,graph
M797,yes,no,1,flat,forward,non,cooc,space
M798,yes,no,1,flat,forward,non,cooc,graph
M799,yes,no,1,flat,backward,log,distance,space
M800,yes,no,1,flat,backward,log,distance,graph
M801,yes,no,1,flat,backward,log,cos,space
M802,yes,no,1,flat,backward,log,cos,graph
M803,yes,no,1,flat,backward,log,corr,space
M804,yes,no,1,flat,backward,log,corr,graph
M805,yes,no,1,flat,backward,log,r_distance,space
M806,yes,no,1,flat,backward,log,r_distance,graph
M807,yes,no,1,flat,backward,log,r_cos,space
M808,yes,no,1,flat,backward,log,r_cos,graph
M809,yes,no,1,flat,backward,log,r_corr,space
M810,yes,no,1,flat,backward,log,r_corr,graph
M811,yes,no,1,flat,backward,log,cooc,space
M812,yes,no,1,flat,backward,log,cooc,graph
M813,yes,no,1,flat,backward,ppmi,distance,space
M814,yes,no,1,flat,backward,ppmi,distance,graph
M815,yes,no,1,flat,backward,ppmi,cos,space
M816,yes,no,1,flat,backward,ppmi,cos,graph
M817,yes,no,1,flat,backward,ppmi,corr,space
M818,yes,no,1,flat,backward,ppmi,corr,graph
M819,yes,no,1,flat,backward,ppmi,r_distance,space
M820,yes,no,1,flat,backward,ppmi,r_distance,graph
M821,yes,no,1,flat,backward,ppmi,r_cos,space
M822,yes,no,1,flat,backward,ppmi,r_cos,graph
M823,yes,no,1,flat,backward,ppmi,r_corr,space
M824,yes,no,1,flat,backward,ppmi,r_corr,graph
M825,yes,no,1,flat,backward,ppmi,cooc,space
M826,yes,no,1,flat,backward,ppmi,cooc,graph
M827,yes,no,1,flat,backward,non,distance,space
M828,yes,no,1,flat,backward,non,distance,graph
M829,yes,no,1,flat,backward,non,cos,space
M830,yes,no,1,flat,backward,non,cos,graph
M831,yes,no,1,flat,backward,non,corr,space
M832,yes,no,1,flat,backward,non,corr,graph
M833,yes,no,1,flat,backward,non,r_distance,space
M834,yes,no,1,flat,backward,non,r_distance,graph
M835,yes,no,1,flat,backward,non,r_cos,space
M836,yes,no,1,flat,backward,non,r_cos,graph
M837,yes,no,1,flat,backward,non,r_corr,space
M838,yes,no,1,flat,backward,non,r_corr,graph
M839,yes,no,1,flat,backward,non,cooc,space
M840,yes,no,1,flat,backward,non,cooc,graph
M841,yes,no,1,flat,summed,log,distance,space
M842,yes,no,1,flat,summed,log,distance,graph
M843,yes,no,1,flat,summed,log,cos,space
M844,yes,no,1,flat,summed,log,cos,graph
M845,yes,no,1,flat,summed,log,corr,space
M846,yes,no,1,flat,summed,log,corr,graph
M847,yes,no,1,flat,summed,log,r_distance,space
M848,yes,no,1,flat,summed,log,r_distance,graph
M849,yes,no,1,flat,summed,log,r_cos,space
M850,yes,no,1,flat,summed,log,r_cos,graph
M851,yes,no,1,flat,summed,log,r_corr,space
M852,yes,no,1,flat,summed,log,r_corr,graph
M853,yes,no,1,flat,summed,log,cooc,space
M854,yes,no,1,flat,summed,log,cooc,graph
M855,yes,no,1,flat,summed,ppmi,distance,space
M856,yes,no,1,flat,summed,ppmi,distance,graph
M857,yes,no,1,flat,summed,ppmi,cos,space
M858,yes,no,1,flat,summed,ppmi,cos,graph
M859,yes,no,1,flat,summed,ppmi,corr,space
M860,yes,no,1,flat,summed,ppmi,corr,graph
M861,yes,no,1,flat,summed,ppmi,r_distance,space
M862,yes,no,1,flat,summed,ppmi,r_distance,graph
M863,yes,no,1,flat,summed,ppmi,r_cos,space
M864,yes,no,1,flat,summed,ppmi,r_cos,graph
M865,yes,no,1,flat,summed,ppmi,r_corr,space
M866,yes,no,1,flat,summed,ppmi,r_corr,graph
M867,yes,no,1,flat,summed,ppmi,cooc,space
M868,yes,no,1,flat,summed,ppmi,cooc,graph
M869,yes,no,1,flat,summed,non,distance,space
M870,yes,no,1,flat,summed,non,distance,graph
M871,yes,no,1,flat,summed,non,cos,space
M872,yes,no,1,flat,summed,non,cos,graph
M873,yes,no,1,flat,summed,non,corr,space
M874,yes,no,1,flat,summed,non,corr,graph
M875,yes,no,1,flat,summed,non,r_distance,space
M876,yes,no,1,flat,summed,non,r_distance,graph
M877,yes,no,1,flat,summed,non,r_cos,space
M878,yes,no,1,flat,summed,non,r_cos,graph
M879,yes,no,1,flat,summed,non,r_corr,space
M880,yes,no,1,flat,summed,non,r_corr,graph
M881,yes,no,1,flat,summed,non,cooc,space
M882,yes,no,1,flat,summed,non,cooc,graph
M883,yes,no,1,linear,forward,log,distance,space
M884,yes,no,1,linear,forward,log,distance,graph
M885,yes,no,1,linear,forward,log,cos,space
M886,yes,no,1,linear,forward,log,cos,graph
M887,yes,no,1,linear,forward,log,corr,space
M888,yes,no,1,linear,forward,log,corr,graph
M889,yes,no,1,linear,forward,log,r_distance,space
M890,yes,no,1,linear,forward,log,r_distance,graph
M891,yes,no,1,linear,forward,log,r_cos,space
M892,yes,no,1,linear,forward,log,r_cos,graph
M893,yes,no,1,linear,forward,log,r_corr,space
M894,yes,no,1,linear,forward,log,r_corr,graph
M895,yes,no,1,linear,forward,log,cooc,space
M896,yes,no,1,linear,forward,log,cooc,graph
M897,yes,no,1,linear,forward,ppmi,distance,space
M898,yes,no,1,linear,forward,ppmi,distance,graph
M899,yes,no,1,linear,forward,ppmi,cos,space
M900,yes,no,1,linear,forward,ppmi,cos,graph
M901,yes,no,1,linear,forward,ppmi,corr,space
M902,yes,no,1,linear,forward,ppmi,corr,graph
M903,yes,no,1,linear,forward,ppmi,r_distance,space
M904,yes,no,1,linear,forward,ppmi,r_distance,graph
M905,yes,no,1,linear,forward,ppmi,r_cos,space
M906,yes,no,1,linear,forward,ppmi,r_cos,graph
M907,yes,no,1,linear,forward,ppmi,r_corr,space
M908,yes,no,1,linear,forward,ppmi,r_corr,graph
M909,yes,no,1,linear,forward,ppmi,cooc,space
M910,yes,no,1,linear,forward,ppmi,cooc,graph
M911,yes,no,1,linear,forward,non,distance,space
M912,yes,no,1,linear,forward,non,distance,graph
M913,yes,no,1,linear,forward,non,cos,space
M914,yes,no,1,linear,forward,non,cos,graph
M915,yes,no,1,linear,forward,non,corr,space
M916,yes,no,1,linear,forward,non,corr,graph
M917,yes,no,1,linear,forward,non,r_distance,space
M918,yes,no,1,linear,forward,non,r_distance,graph
M919,yes,no,1,linear,forward,non,r_cos,space
M920,yes,no,1,linear,forward,non,r_cos,graph
M921,yes,no,1,linear,forward,non,r_corr,space
M922,yes,no,1,linear,forward,non,r_corr,graph
M923,yes,no,1,linear,forward,non,cooc,space
M924,yes,no,1,linear,forward,non,cooc,graph
M925,yes,no,1,linear,backward,log,distance,space
M926,yes,no,1,linear,backward,log,distance,graph
M927,yes,no,1,linear,backward,log,cos,space
M928,yes,no,1,linear,backward,log,cos,graph
M929,yes,no,1,linear,backward,log,corr,space
M930,yes,no,1,linear,backward,log,corr,graph
M931,yes,no,1,linear,backward,log,r_distance,space
M932,yes,no,1,linear,backward,log,r_distance,graph
M933,yes,no,1,linear,backward,log,r_cos,space
M934,yes,no,1,linear,backward,log,r_cos,graph
M935,yes,no,1,linear,backward,log,r_corr,space
M936,yes,no,1,linear,backward,log,r_corr,graph
M937,yes,no,1,linear,backward,log,cooc,space
M938,yes,no,1,linear,backward,log,cooc,graph
M939,yes,no,1,linear,backward,ppmi,distance,space
M940,yes,no,1,linear,backward,ppmi,distance,graph
M941,yes,no,1,linear,backward,ppmi,cos,space
M942,yes,no,1,linear,backward,ppmi,cos,graph
M943,yes,no,1,linear,backward,ppmi,corr,space
M944,yes,no,1,linear,backward,ppmi,corr,graph
M945,yes,no,1,linear,backward,ppmi,r_distance,space
M946,yes,no,1,linear,backward,ppmi,r_distance,graph
M947,yes,no,1,linear,backward,ppmi,r_cos,space
M948,yes,no,1,linear,backward,ppmi,r_cos,graph
M949,yes,no,1,linear,backward,ppmi,r_corr,space
M950,yes,no,1,linear,backward,ppmi,r_corr,graph
M951,yes,no,1,linear,backward,ppmi,cooc,space
M952,yes,no,1,linear,backward,ppmi,cooc,graph
M953,yes,no,1,linear,backward,non,distance,space
M954,yes,no,1,linear,backward,non,distance,graph
M955,yes,no,1,linear,backward,non,cos,space
M956,yes,no,1,linear,backward,non,cos,graph
M957,yes,no,1,linear,backward,non,corr,space
M958,yes,no,1,linear,backward,non,corr,graph
M959,yes,no,1,linear,backward,non,r_distance,space
M960,yes,no,1,linear,backward,non,r_distance,graph
M961,yes,no,1,linear,backward,non,r_cos,space
M962,yes,no,1,linear,backward,non,r_cos,graph
M963,yes,no,1,linear,backward,non,r_corr,space
M964,yes,no,1,linear,backward,non,r_corr,graph
M965,yes,no,1,linear,backward,non,cooc,space
M966,yes,no,1,linear,backward,non,cooc,graph
M967,yes,no,1,linear,summed,log,distance,space
M968,yes,no,1,linear,summed,log,distance,graph
M969,yes,no,1,linear,summed,log,cos,space
M970,yes,no,1,linear,summed,log,cos,graph
M971,yes,no,1,linear,summed,log,corr,space
M972,yes,no,1,linear,summed,log,corr,graph
M973,yes,no,1,linear,summed,log,r_distance,space
M974,yes,no,1,linear,summed,log,r_distance,graph
M975,yes,no,1,linear,summed,log,r_cos,space
M976,yes,no,1,linear,summed,log,r_cos,graph
M977,yes,no,1,linear,summed,log,r_corr,space
M978,yes,no,1,linear,summed,log,r_corr,graph
M979,yes,no,1,linear,summed,log,cooc,space
M980,yes,no,1,linear,summed,log,cooc,graph
M981,yes,no,1,linear,summed,ppmi,distance,space
M982,yes,no,1,linear,summed,ppmi,distance,graph
M983,yes,no,1,linear,summed,ppmi,cos,space
M984,yes,no,1,linear,summed,ppmi,cos,graph
M985,yes,no,1,linear,summed,ppmi,corr,space
M986,yes,no,1,linear,summed,ppmi,corr,graph
M987,yes,no,1,linear,summed,ppmi,r_distance,space
M988,yes,no,1,linear,summed,ppmi,r_distance,graph
M989,yes,no,1,linear,summed,ppmi,r_cos,space
M990,yes,no,1,linear,summed,ppmi,r_cos,graph
M991,yes,no,1,linear,summed,ppmi,r_corr,space
M992,yes,no,1,linear,summed,ppmi,r_corr,graph
M993,yes,no,1,linear,summed,ppmi,cooc,space
M994,yes,no,1,linear,summed,ppmi,cooc,graph
M995,yes,no,1,linear,summed,non,distance,space
M996,yes,no,1,linear,summed,non,distance,graph
M997,yes,no,1,linear,summed,non,cos,space
M998,yes,no,1,linear,summed,non,cos,graph
M999,yes,no,1,linear,summed,non,corr,space
M1000,yes,no,1,linear,summed,non,corr,graph
M1001,yes,no,1,linear,summed,non,r_distance,space
M1002,yes,no,1,linear,summed,non,r_distance,graph
M1003,yes,no,1,linear,summed,non,r_cos,space
M1004,yes,no,1,linear,summed,non,r_cos,graph
M1005,yes,no,1,linear,summed,non,r_corr,space
M1006,yes,no,1,linear,summed,non,r_corr,graph
M1007,yes,no,1,linear,summed,non,cooc,space
M1008,yes,no,1,linear,summed,non,cooc,graph
M1009,yes,no,2,flat,forward,log,distance,space
M1010,yes,no,2,flat,forward,log,distance,graph
M1011,yes,no,2,flat,forward,log,cos,space
M1012,yes,no,2,flat,forward,log,cos,graph
M1013,yes,no,2,flat,forward,log,corr,space
M1014,yes,no,2,flat,forward,log,corr,graph
M1015,yes,no,2,flat,forward,log,r_distance,space
M1016,yes,no,2,flat,forward,log,r_distance,graph
M1017,yes,no,2,flat,forward,log,r_cos,space
M1018,yes,no,2,flat,forward,log,r_cos,graph
M1019,yes,no,2,flat,forward,log,r_corr,space
M1020,yes,no,2,flat,forward,log,r_corr,graph
M1021,yes,no,2,flat,forward,log,cooc,space
M1022,yes,no,2,flat,forward,log,cooc,graph
M1023,yes,no,2,flat,forward,ppmi,distance,space
M1024,yes,no,2,flat,forward,ppmi,distance,graph
M1025,yes,no,2,flat,forward,ppmi,cos,space
M1026,yes,no,2,flat,forward,ppmi,cos,graph
M1027,yes,no,2,flat,forward,ppmi,corr,space
M1028,yes,no,2,flat,forward,ppmi,corr,graph
M1029,yes,no,2,flat,forward,ppmi,r_distance,space
M1030,yes,no,2,flat,forward,ppmi,r_distance,graph
M1031,yes,no,2,flat,forward,ppmi,r_cos,space
M1032,yes,no,2,flat,forward,ppmi,r_cos,graph
M1033,yes,no,2,flat,forward,ppmi,r_corr,space
M1034,yes,no,2,flat,forward,ppmi,r_corr,graph
M1035,yes,no,2,flat,forward,ppmi,cooc,space
M1036,yes,no,2,flat,forward,ppmi,cooc,graph
M1037,yes,no,2,flat,forward,non,distance,space
M1038,yes,no,2,flat,forward,non,distance,graph
M1039,yes,no,2,flat,forward,non,cos,space
M1040,yes,no,2,flat,forward,non,cos,graph
M1041,yes,no,2,flat,forward,non,corr,space
M1042,yes,no,2,flat,forward,non,corr,graph
M1043,yes,no,2,flat,forward,non,r_distance,space
M1044,yes,no,2,flat,forward,non,r_distance,graph
M1045,yes,no,2,flat,forward,non,r_cos,space
M1046,yes,no,2,flat,forward,non,r_cos,graph
M1047,yes,no,2,flat,forward,non,r_corr,space
M1048,yes,no,2,flat,forward,non,r_corr,graph
M1049,yes,no,2,flat,forward,non,cooc,space
M1050,yes,no,2,flat,forward,non,cooc,graph
M1051,yes,no,2,flat,backward,log,distance,space
M1052,yes,no,2,flat,backward,log,distance,graph
M1053,yes,no,2,flat,backward,log,cos,space
M1054,yes,no,2,flat,backward,log,cos,graph
M1055,yes,no,2,flat,backward,log,corr,space
M1056,yes,no,2,flat,backward,log,corr,graph
M1057,yes,no,2,flat,backward,log,r_distance,space
M1058,yes,no,2,flat,backward,log,r_distance,graph
