Model,period,boundary,window_size,window_weight,window_type,normalization,encode,representation
M120,yes,yes,1,flat,summed,non,r_distance,graph
M121,yes,yes,1,flat,summed,non,r_cos,space
M122,yes,yes,1,flat,summed,non,r_cos,graph
M123,yes,yes,1,flat,summed,non,r_corr,space
M124,yes,yes,1,flat,summed,non,r_corr,graph
M125,yes,yes,1,flat,summed,non,cooc,space
M126,yes,yes,1,flat,summed,non,cooc,graph
M127,yes,yes,1,linear,forward,log,distance,space
M128,yes,yes,1,linear,forward,log,distance,graph
M129,yes,yes,1,linear,forward,log,cos,space
M130,yes,yes,1,linear,forward,log,cos,graph
M131,yes,yes,1,linear,forward,log,corr,space
M132,yes,yes,1,linear,forward,log,corr,graph
M133,yes,yes,1,linear,forward,log,r_distance,space
M134,yes,yes,1,linear,forward,log,r_distance,graph
M135,yes,yes,1,linear,forward,log,r_cos,space
M136,yes,yes,1,linear,forward,log,r_cos,graph
M137,yes,yes,1,linear,forward,log,r_corr,space
M138,yes,yes,1,linear,forward,log,r_corr,graph
M139,yes,yes,1,linear,forward,log,cooc,space
M140,yes,yes,1,linear,forward,log,cooc,graph
M141,yes,yes,1,linear,forward,ppmi,distance,space
M142,yes,yes,1,linear,forward,ppmi,distance,graph
M143,yes,yes,1,linear,forward,ppmi,cos,space
M144,yes,yes,1,linear,forward,ppmi,cos,graph
M145,yes,yes,1,linear,forward,ppmi,corr,space
M146,yes,yes,1,linear,forward,ppmi,corr,graph
M147,yes,yes,1,linear,forward,ppmi,r_distance,space
M148,yes,yes,1,linear,forward,ppmi,r_distance,graph
M149,yes,yes,1,linear,forward,ppmi,r_cos,space
M150,yes,yes,1,linear,forward,ppmi,r_cos,graph
M151,yes,yes,1,linear,forward,ppmi,r_corr,space
M152,yes,yes,1,linear,forward,ppmi,r_corr,graph
M153,yes,yes,1,linear,forward,ppmi,cooc,space
M154,yes,yes,1,linear,forward,ppmi,cooc,graph
M155,yes,yes,1,linear,forward,non,distance,space
M156,yes,yes,1,linear,forward,non,distance,graph
M157,yes,yes,1,linear,forward,non,cos,space
M158,yes,yes,1,linear,forward,non,cos,graph
M159,yes,yes,1,linear,forward,non,corr,space
M160,yes,yes,1,linear,forward,non,corr,graph
M161,yes,yes,1,linear,forward,non,r_distance,space
M162,yes,yes,1,linear,forward,non,r_distance,graph
M163,yes,yes,1,linear,forward,non,r_cos,space
M164,yes,yes,1,linear,forward,non,r_cos,graph
M165,yes,yes,1,linear,forward,non,r_corr,space
M166,yes,yes,1,linear,forward,non,r_corr,graph
M167,yes,yes,1,linear,forward,non,cooc,space
M168,yes,yes,1,linear,forward,non,cooc,graph
M169,yes,yes,1,linear,backward,log,distance,space
M170,yes,yes,1,linear,backward,log,distance,graph
M171,yes,yes,1,linear,backward,log,cos,space
M172,yes,yes,1,linear,backward,log,cos,graph
M173,yes,yes,1,linear,backward,log,corr,space
M174,yes,yes,1,linear,backward,log,corr,graph
M175,yes,yes,1,linear,backward,log,r_distance,space
M176,yes,yes,1,linear,backward,log,r_distance,graph
M177,yes,yes,1,linear,backward,log,r_cos,space
M178,yes,yes,1,linear,backward,log,r_cos,graph
M179,yes,yes,1,linear,backward,log,r_corr,space
M180,yes,yes,1,linear,backward,log,r_corr,graph
M181,yes,yes,1,linear,backward,log,cooc,space
M182,yes,yes,1,linear,backward,log,cooc,graph
M183,yes,yes,1,linear,backward,ppmi,distance,space
M184,yes,yes,1,linear,backward,ppmi,distance,graph
M185,yes,yes,1,linear,backward,ppmi,cos,space
M186,yes,yes,1,linear,backward,ppmi,cos,graph
M187,yes,yes,1,linear,backward,ppmi,corr,space
M188,yes,yes,1,linear,backward,ppmi,corr,graph
M189,yes,yes,1,linear,backward,ppmi,r_distance,space
M190,yes,yes,1,linear,backward,ppmi,r_distance,graph
M191,yes,yes,1,linear,backward,ppmi,r_cos,space
M192,yes,yes,1,linear,backward,ppmi,r_cos,graph
M193,yes,yes,1,linear,backward,ppmi,r_corr,space
M194,yes,yes,1,linear,backward,ppmi,r_corr,graph
M195,yes,yes,1,linear,backward,ppmi,cooc,space
M196,yes,yes,1,linear,backward,ppmi,cooc,graph
M197,yes,yes,1,linear,backward,non,distance,space
M198,yes,yes,1,linear,backward,non,distance,graph
M199,yes,yes,1,linear,backward,non,cos,space
M200,yes,yes,1,linear,backward,non,cos,graph
M201,yes,yes,1,linear,backward,non,corr,space
M202,yes,yes,1,linear,backward,non,corr,graph
M203,yes,yes,1,linear,backward,non,r_distance,space
M204,yes,yes,1,linear,backward,non,r_distance,graph
M205,yes,yes,1,linear,backward,non,r_cos,space
M206,yes,yes,1,linear,backward,non,r_cos,graph
M207,yes,yes,1,linear,backward,non,r_corr,space
M208,yes,yes,1,linear,backward,non,r_corr,graph
M209,yes,yes,1,linear,backward,non,cooc,space
M210,yes,yes,1,linear,backward,non,cooc,graph
M211,yes,yes,1,linear,summed,log,distance,space
M212,yes,yes,1,linear,summed,log,distance,graph
M213,yes,yes,1,linear,summed,log,cos,space
M214,yes,yes,1,linear,summed,log,cos,graph
M215,yes,yes,1,linear,summed,log,corr,space
M216,yes,yes,1,linear,summed,log,corr,graph
M217,yes,yes,1,linear,summed,log,r_distance,space
M218,yes,yes,1,linear,summed,log,r_distance,graph
