subject,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12
1,0.11538412564024443,0.11538412564024443,0.04725520964512492,0.06094735701670025,0.06106167719094242,0.06106167719094242,0.04725520964512492,0.01488475217515518,-0.017211069056985266,-0.017211069056985266,0.04725520964512492,0.0056315075952637255
1,0.08158889768149742,0.08158889768149742,0.033414479186459775,0.04309628944190626,0.04317712601233932,0.04317712601233932,0.033414479186459775,0.01052510919933344,0.01217006364166424,0.01217006364166424,0.033414479186459775,0.003982077208914528
1,0.06910110371051262,0.06910110371051262,0.046434025884536004,0.03857638388499503,0.1037917116418724,0.1037917116418724,0.046434025884536004,0.023402528134394664,-0.14143770016605833,-0.14143770016605833,0.046434025884536004,0.05290408793693174
1,0.03584815268355338,0.03584815268355338,0.013302403245534914,0.019824993126919006,0.002912581373280758,0.002912581373280758,0.013302403245534914,0.000704025793105107,0.04746489133535188,0.04746489133535188,0.013302403245534914,0.01764369263500437
2,0.22020117374602333,0.22020117374602333,0.14058767141145598,0.10646685967365337,0.05007726408697353,0.05007726408697353,0.14058767141145598,0.012562244637063893,0.11623797525345414,0.11623797525345414,0.14058767141145598,-0.048449527805578416
2,0.15570574318105024,0.15570574318105024,0.09941049580626664,0.07528343844687686,0.035409973019168546,0.035409973019168546,0.09941049580626664,0.008882848369792218,0.08219266053311151,0.08219266053311151,0.09941049580626664,0.034258989656610686
2,0.09705487288723995,0.09705487288723995,0.038124820267873734,0.04990629147697351,0.10767199955242687,0.10767199955242687,0.038124820267873734,0.02809915303702587,-0.14073564298590585,-0.14073564298590585,0.038124820267873734,0.053138733967279736
2,0.026794976738814105,0.026794976738814105,0.012516168352355906,0.014080036645682381,0.008621360650046869,0.008621360650046869,0.012516168352355906,0.0006503176999122378,0.042953322297865776,0.042953322297865776,0.012516168352355906,0.015542390317459253
