,Model,period,boundary,window_size,window_weight,window_type,normalization,encode,representation,mean,std_error
67,M68,yes,yes,1,flat,backward,ppmi,r_corr,graph,0.3723508704450796,0.04719294141404516
68,M69,yes,yes,1,flat,backward,ppmi,cooc,space,0.48784242529481114,0.007690092552427752
69,M70,yes,yes,1,flat,backward,ppmi,cooc,graph,0.7988450587465723,0.015337447037903497
70,M71,yes,yes,1,flat,backward,non,distance,space,0.7077849256460903,0.005451485118216482
71,M72,yes,yes,1,flat,backward,non,distance,graph,0.6773953580745405,0.019668768975682198
72,M73,yes,yes,1,flat,backward,non,cos,space,0.7144414552263347,0.007521089360574639
73,M74,yes,yes,1,flat,backward,non,cos,graph,0.694102411040934,0.020960806695257614
74,M75,yes,yes,1,flat,backward,non,corr,space,-0.7059492266772633,0.004203781688781965
75,M76,yes,yes,1,flat,backward,non,corr,graph,-0.7206513709539483,0.008029382462904465
76,M77,yes,yes,1,flat,backward,non,r_distance,space,0.7108726390174201,0.014787785178545603
77,M78,yes,yes,1,flat,backward,non,r_distance,graph,0.4992232075258644,0.013826191036501895
78,M79,yes,yes,1,flat,backward,non,r_cos,space,0.7039588854385461,0.01566262405861461
79,M80,yes,yes,1,flat,backward,non,r_cos,graph,0.5037795804472956,0.011382922456207945
80,M81,yes,yes,1,flat,backward,non,r_corr,space,0.3659736274337337,0.2710830995909481
81,M82,yes,yes,1,flat,backward,non,r_corr,graph,0.40632590561372534,0.07346791823218332
82,M83,yes,yes,1,flat,backward,non,cooc,space,0.49950448969314465,0.007473453320315087
83,M84,yes,yes,1,flat,backward,non,cooc,graph,0.7008757056313623,0.010712930896415444
84,M85,yes,yes,1,flat,summed,log,distance,space,0.7182218237877395,0.010663921946379745
85,M86,yes,yes,1,flat,summed,log,distance,graph,0.7570571610919774,0.008426237347966959
86,M87,yes,yes,1,flat,summed,log,cos,space,0.7558827071067171,0.002511757103677287
87,M88,yes,yes,1,flat,summed,log,cos,graph,0.6494836439369729,0.002234237517487392
88,M89,yes,yes,1,flat,summed,log,corr,space,-0.7182206689681785,0.010664205041070672
89,M90,yes,yes,1,flat,summed,log,corr,graph,-0.4850952842990256,0.034362232627054665
90,M91,yes,yes,1,flat,summed,log,r_distance,space,0.7174567715601641,0.010378995048675
91,M92,yes,yes,1,flat,summed,log,r_distance,graph,0.7643348365124322,0.010017600342464924
92,M93,yes,yes,1,flat,summed,log,r_cos,space,-0.7041185032287383,0.012922445651786605
93,M94,yes,yes,1,flat,summed,log,r_cos,graph,-0.5494934274442798,0.01605094356222067
94,M95,yes,yes,1,flat,summed,log,r_corr,space,0.3607623302488186,0.42040362073584053
95,M96,yes,yes,1,flat,summed,log,r_corr,graph,0.19402492873044194,0.46933410700346734
96,M97,yes,yes,1,flat,summed,log,cooc,space,0.752613665501552,0.014056629149945663
97,M98,yes,yes,1,flat,summed,log,cooc,graph,0.8587490660268328,0.00713056563135597
98,M99,yes,yes,1,flat,summed,ppmi,distance,space,0.7290166400137228,0.01169196400112367
99,M100,yes,yes,1,flat,summed,ppmi,distance,graph,0.3355971446455675,0.008513866591239323
100,M101,yes,yes,1,flat,summed,ppmi,cos,space,0.7558827071067171,0.002511757103677287
101,M102,yes,yes,1,flat,summed,ppmi,cos,graph,0.6480571085133154,0.002391502216420035
102,M103,yes,yes,1,flat,summed,ppmi,corr,space,-0.6895452465653227,0.004342921715388954
103,M104,yes,yes,1,flat,summed,ppmi,corr,graph,-0.20059034803379533,0.12326307018075684
104,M105,yes,yes,1,flat,summed,ppmi,r_distance,space,0.739149812293125,0.013620572776061964
105,M106,yes,yes,1,flat,summed,ppmi,r_distance,graph,0.40967776008316986,0.023316680498869233
106,M107,yes,yes,1,flat,summed,ppmi,r_cos,space,0.5270066201647465,0.0375530972847383
107,M108,yes,yes,1,flat,summed,ppmi,r_cos,graph,0.2742714716459793,0.027156984006286043
108,M109,yes,yes,1,flat,summed,ppmi,r_corr,space,0.4148198245849003,0.10283995448242896
109,M110,yes,yes,1,flat,summed,ppmi,r_corr,graph,0.23204853109860984,0.0995650772769922
110,M111,yes,yes,1,flat,summed,ppmi,cooc,space,0.7532519840025205,0.014846308151877126
111,M112,yes,yes,1,flat,summed,ppmi,cooc,graph,0.5123427766090223,0.012037435985303753
112,M113,yes,yes,1,flat,summed,non,distance,space,0.67995639678598,0.007890727237509037
113,M114,yes,yes,1,flat,summed,non,distance,graph,0.6365943307958936,0.023931707895422184
114,M115,yes,yes,1,flat,summed,non,cos,space,0.7558827071067171,0.002511757103677287
115,M116,yes,yes,1,flat,summed,non,cos,graph,0.6487652107227189,0.0023438341121465715
116,M117,yes,yes,1,flat,summed,non,corr,space,-0.7203815832703875,0.010602944267804974
117,M118,yes,yes,1,flat,summed,non,corr,graph,-0.41838199704159307,0.0402237143766664
118,M119,yes,yes,1,flat,summed,non,r_distance,space,0.6796022152289749,0.008573024799918397
119,M120,yes,yes,1,flat,summed,non,r_distance,graph,0.6348024545659765,0.02338734237677844
120,M121,yes,yes,1,flat,summed,non,r_cos,space,-0.2665928893834578,0.014791846172478803
121,M122,yes,yes,1,flat,summed,non,r_cos,graph,-0.3045990215482677,0.012823735907083553
122,M123,yes,yes,1,flat,summed,non,r_corr,space,-0.3188805831880609,0.010077227450664524
123,M124,yes,yes,1,flat,summed,non,r_corr,graph,0.6719519682890049,0.013145179240688594
