,Model,period,boundary,window_size,window_weight,window_type,normalization,encode,representation,run,performance
9806,M735,yes,yes,7,linear,summed,ppmi,r_distance,space,R4,0.7306733029569912
9807,M736,yes,yes,7,linear,summed,ppmi,r_distance,graph,R4,0.45693337756370955
9808,M737,yes,yes,7,linear,summed,ppmi,r_cos,space,R4,0.5875013527418784
9809,M738,yes,yes,7,linear,summed,ppmi,r_cos,graph,R4,0.2710872941732799
9810,M739,yes,yes,7,linear,summed,ppmi,r_corr,space,R4,0.49702552718830073
9811,M740,yes,yes,7,linear,summed,ppmi,r_corr,graph,R4,0.26573712487902124
9812,M741,yes,yes,7,linear,summed,ppmi,cooc,space,R4,0.7462823056142979
9813,M742,yes,yes,7,linear,summed,ppmi,cooc,graph,R4,0.4184969839261227
9814,M743,yes,yes,7,linear,summed,non,distance,space,R4,0.7443038281256655
9815,M744,yes,yes,7,linear,summed,non,distance,graph,R4,0.6977632953904053
9816,M745,yes,yes,7,linear,summed,non,cos,space,R4,0.7332451001586279
9817,M746,yes,yes,7,linear,summed,non,cos,graph,R4,0.7785942314847449
9818,M747,yes,yes,7,linear,summed,non,corr,space,R4,0.732267817222006
9819,M748,yes,yes,7,linear,summed,non,corr,graph,R4,0.7660141036847314
9820,M749,yes,yes,7,linear,summed,non,r_distance,space,R4,0.7104589769521271
9821,M750,yes,yes,7,linear,summed,non,r_distance,graph,R4,0.6321514219506794
9822,M751,yes,yes,7,linear,summed,non,r_cos,space,R4,0.5491558564654758
9823,M752,yes,yes,7,linear,summed,non,r_cos,graph,R4,0.5571586773497368
9824,M753,yes,yes,7,linear,summed,non,r_corr,space,R4,0.6468841501276689
9825,M754,yes,yes,7,linear,summed,non,r_corr,graph,R4,0.6341035107472334
9826,M755,yes,yes,7,linear,summed,non,cooc,space,R4,0.778235038917797
9827,M756,yes,yes,7,linear,summed,non,cooc,graph,R4,0.3262613580004487
9828,M757,yes,no,1,flat,forward,log,distance,space,R4,0.746608680596312
9829,M758,yes,no,1,flat,forward,log,distance,graph,R4,0.7326098361345252
9830,M759,yes,no,1,flat,forward,log,cos,space,R4,0.7550368318572646
9831,M760,yes,no,1,flat,forward,log,cos,graph,R4,0.7230179244597604
9832,M761,yes,no,1,flat,forward,log,corr,space,R4,-0.746608680596312
9833,M762,yes,no,1,flat,forward,log,corr,graph,R4,-0.3469613859806821
9834,M763,yes,no,1,flat,forward,log,r_distance,space,R4,0.744486019761669
9835,M764,yes,no,1,flat,forward,log,r_distance,graph,R4,0.7160849064645909
9836,M765,yes,no,1,flat,forward,log,r_cos,space,R4,0.0013828321169400927
9837,M766,yes,no,1,flat,forward,log,r_cos,graph,R4,-0.04119787976557957
9838,M767,yes,no,1,flat,forward,log,r_corr,space,R4,0.25609672088826446
9839,M768,yes,no,1,flat,forward,log,r_corr,graph,R4,0.3255952958426023
9840,M769,yes,no,1,flat,forward,log,cooc,space,R4,0.5624822307375182
9841,M770,yes,no,1,flat,forward,log,cooc,graph,R4,0.8923291502596835
9842,M771,yes,no,1,flat,forward,ppmi,distance,space,R4,0.7275223652300866
9843,M772,yes,no,1,flat,forward,ppmi,distance,graph,R4,0.651616140423278
9844,M773,yes,no,1,flat,forward,ppmi,cos,space,R4,0.7550368318572646
9845,M774,yes,no,1,flat,forward,ppmi,cos,graph,R4,0.7230179244597604
9846,M775,yes,no,1,flat,forward,ppmi,corr,space,R4,-0.7201955146591721
9847,M776,yes,no,1,flat,forward,ppmi,corr,graph,R4,-0.3219299623206478
9848,M777,yes,no,1,flat,forward,ppmi,r_distance,space,R4,0.7351360320155208
9849,M778,yes,no,1,flat,forward,ppmi,r_distance,graph,R4,0.6406723059078865
9850,M779,yes,no,1,flat,forward,ppmi,r_cos,space,R4,0.2663109179461327
9851,M780,yes,no,1,flat,forward,ppmi,r_cos,graph,R4,0.03438016862866116
9852,M781,yes,no,1,flat,forward,ppmi,r_corr,space,R4,0.0177003395935185
9853,M782,yes,no,1,flat,forward,ppmi,r_corr,graph,R4,-0.167492730577742
9854,M783,yes,no,1,flat,forward,ppmi,cooc,space,R4,0.5741421797230419
9855,M784,yes,no,1,flat,forward,ppmi,cooc,graph,R4,0.9241003463527458
9856,M785,yes,no,1,flat,forward,non,distance,space,R4,0.6932536536731779
9857,M786,yes,no,1,flat,forward,non,distance,graph,R4,0.6306692804569997
9858,M787,yes,no,1,flat,forward,non,cos,space,R4,0.7550368318572646
9859,M788,yes,no,1,flat,forward,non,cos,graph,R4,0.7230179244597604
9860,M789,yes,no,1,flat,forward,non,corr,space,R4,-0.7381662096968578
9861,M790,yes,no,1,flat,forward,non,corr,graph,R4,-0.0683059035560182
9862,M791,yes,no,1,flat,forward,non,r_distance,space,R4,0.6930564988959113
9863,M792,yes,no,1,flat,forward,non,r_distance,graph,R4,0.661646636808964
9864,M793,yes,no,1,flat,forward,non,r_cos,space,R4,-0.39419110173431177
9865,M794,yes,no,1,flat,forward,non,r_cos,graph,R4,-0.30712310173047663
9866,M795,yes,no,1,flat,forward,non,r_corr,space,R4,-0.18285481218234534
9867,M796,yes,no,1,flat,forward,non,r_corr,graph,R4,-0.4276501992412532
9868,M797,yes,no,1,flat,forward,non,cooc,space,R4,0.5962266576943643
9869,M798,yes,no,1,flat,forward,non,cooc,graph,R4,0.7040129269942076
9870,M799,yes,no,1,flat,backward,log,distance,space,R4,0.7277798417832786
9871,M800,yes,no,1,flat,backward,log,distance,graph,R4,0.7541342007260965
9872,M801,yes,no,1,flat,backward,log,cos,space,R4,0.7550368318572646
9873,M802,yes,no,1,flat,backward,log,cos,graph,R4,0.7230179244597604
9874,M803,yes,no,1,flat,backward,log,corr,space,R4,-0.7277798417832786
9875,M804,yes,no,1,flat,backward,log,corr,graph,R4,-0.7616788118559139
9876,M805,yes,no,1,flat,backward,log,r_distance,space,R4,0.7243214910435355
9877,M806,yes,no,1,flat,backward,log,r_distance,graph,R4,0.5378289750728248
9878,M807,yes,no,1,flat,backward,log,r_cos,space,R4,0.32067251792743806
9879,M808,yes,no,1,flat,backward,log,r_cos,graph,R4,0.20707038318769116
9880,M809,yes,no,1,flat,backward,log,r_corr,space,R4,-0.7352602301442671
9881,M810,yes,no,1,flat,backward,log,r_corr,graph,R4,-0.4926127022384028
9882,M811,yes,no,1,flat,backward,log,cooc,space,R4,0.4951906060767511
9883,M812,yes,no,1,flat,backward,log,cooc,graph,R4,0.8623773312083418
9884,M813,yes,no,1,flat,backward,ppmi,distance,space,R4,0.7598755912579385
9885,M814,yes,no,1,flat,backward,ppmi,distance,graph,R4,0.3436981457790706
9886,M815,yes,no,1,flat,backward,ppmi,cos,space,R4,0.7550368318572646
9887,M816,yes,no,1,flat,backward,ppmi,cos,graph,R4,0.7230179244597604
9888,M817,yes,no,1,flat,backward,ppmi,corr,space,R4,-0.7279288697035506
9889,M818,yes,no,1,flat,backward,ppmi,corr,graph,R4,-0.7584582054827328
9890,M819,yes,no,1,flat,backward,ppmi,r_distance,space,R4,0.7586884711341174
9891,M820,yes,no,1,flat,backward,ppmi,r_distance,graph,R4,0.3413015478976923
9892,M821,yes,no,1,flat,backward,ppmi,r_cos,space,R4,0.3426758361332492
9893,M822,yes,no,1,flat,backward,ppmi,r_cos,graph,R4,0.3876991276941512
9894,M823,yes,no,1,flat,backward,ppmi,r_corr,space,R4,-0.15170739065800806
9895,M824,yes,no,1,flat,backward,ppmi,r_corr,graph,R4,0.0634081444211812
9896,M825,yes,no,1,flat,backward,ppmi,cooc,space,R4,0.4891473634393685
9897,M826,yes,no,1,flat,backward,ppmi,cooc,graph,R4,0.9241003463527458
9898,M827,yes,no,1,flat,backward,non,distance,space,R4,0.6924049605966377
9899,M828,yes,no,1,flat,backward,non,distance,graph,R4,0.657329752446971
9900,M829,yes,no,1,flat,backward,non,cos,space,R4,0.7550368318572646
9901,M830,yes,no,1,flat,backward,non,cos,graph,R4,0.7230179244597604
9902,M831,yes,no,1,flat,backward,non,corr,space,R4,-0.7090460732737964
9903,M832,yes,no,1,flat,backward,non,corr,graph,R4,-0.7302048329413807
9904,M833,yes,no,1,flat,backward,non,r_distance,space,R4,0.6971569943504224
9905,M834,yes,no,1,flat,backward,non,r_distance,graph,R4,0.4759153312883316
9906,M835,yes,no,1,flat,backward,non,r_cos,space,R4,0.1322122491606846
9907,M836,yes,no,1,flat,backward,non,r_cos,graph,R4,-0.11400693572414139
9908,M837,yes,no,1,flat,backward,non,r_corr,space,R4,0.14096226448078858
9909,M838,yes,no,1,flat,backward,non,r_corr,graph,R4,-0.3377888134948619
9910,M839,yes,no,1,flat,backward,non,cooc,space,R4,0.5001969587624557
9911,M840,yes,no,1,flat,backward,non,cooc,graph,R4,0.7040129269942076
9912,M841,yes,no,1,flat,summed,log,distance,space,R4,0.7049447716007975
9913,M842,yes,no,1,flat,summed,log,distance,graph,R4,0.7510823049357614
9914,M843,yes,no,1,flat,summed,log,cos,space,R4,0.730819128755729
9915,M844,yes,no,1,flat,summed,log,cos,graph,R4,0.6342057948596616
9916,M845,yes,no,1,flat,summed,log,corr,space,R4,-0.7214578720265177
9917,M846,yes,no,1,flat,summed,log,corr,graph,R4,-0.5027840659072804
9918,M847,yes,no,1,flat,summed,log,r_distance,space,R4,0.7217665281092415
9919,M848,yes,no,1,flat,summed,log,r_distance,graph,R4,0.7752977084449343
9920,M849,yes,no,1,flat,summed,log,r_cos,space,R4,-0.29802961599428934
9921,M850,yes,no,1,flat,summed,log,r_cos,graph,R4,-0.2990436755807877
9922,M851,yes,no,1,flat,summed,log,r_corr,space,R4,0.6769706206594479
9923,M852,yes,no,1,flat,summed,log,r_corr,graph,R4,0.5749885167236669
9924,M853,yes,no,1,flat,summed,log,cooc,space,R4,0.7579564538086001
9925,M854,yes,no,1,flat,summed,log,cooc,graph,R4,0.8624971929939822
9926,M855,yes,no,1,flat,summed,ppmi,distance,space,R4,0.732875561813725
9927,M856,yes,no,1,flat,summed,ppmi,distance,graph,R4,0.30425993322151074
9928,M857,yes,no,1,flat,summed,ppmi,cos,space,R4,0.7330285513512116
9929,M858,yes,no,1,flat,summed,ppmi,cos,graph,R4,0.6348714422430727
9930,M859,yes,no,1,flat,summed,ppmi,corr,space,R4,-0.7058411053805353
9931,M860,yes,no,1,flat,summed,ppmi,corr,graph,R4,-0.08497920205086217
9932,M861,yes,no,1,flat,summed,ppmi,r_distance,space,R4,0.7337758529413765
9933,M862,yes,no,1,flat,summed,ppmi,r_distance,graph,R4,0.4131890534015336
9934,M863,yes,no,1,flat,summed,ppmi,r_cos,space,R4,0.5341540468230407
9935,M864,yes,no,1,flat,summed,ppmi,r_cos,graph,R4,0.24865849161935238
9936,M865,yes,no,1,flat,summed,ppmi,r_corr,space,R4,0.2975923961572249
9937,M866,yes,no,1,flat,summed,ppmi,r_corr,graph,R4,0.20678709701113776
9938,M867,yes,no,1,flat,summed,ppmi,cooc,space,R4,0.7492136709855813
9939,M868,yes,no,1,flat,summed,ppmi,cooc,graph,R4,0.524195911773472
9940,M869,yes,no,1,flat,summed,non,distance,space,R4,0.7049553309406247
9941,M870,yes,no,1,flat,summed,non,distance,graph,R4,0.6653911561808876
9942,M871,yes,no,1,flat,summed,non,cos,space,R4,0.7567535416027024
9943,M872,yes,no,1,flat,summed,non,cos,graph,R4,0.6551135023101823
9944,M873,yes,no,1,flat,summed,non,corr,space,R4,-0.2870944207278122
9945,M874,yes,no,1,flat,summed,non,corr,graph,R4,-0.178568743930817
9946,M875,yes,no,1,flat,summed,non,r_distance,space,R4,0.7056754341570829
9947,M876,yes,no,1,flat,summed,non,r_distance,graph,R4,0.6490695248541459
9948,M877,yes,no,1,flat,summed,non,r_cos,space,R4,0.14551228566860216
9949,M878,yes,no,1,flat,summed,non,r_cos,graph,R4,-0.1421629825867889
9950,M879,yes,no,1,flat,summed,non,r_corr,space,R4,0.04359267608471215
9951,M880,yes,no,1,flat,summed,non,r_corr,graph,R4,0.10747837619074335
9952,M881,yes,no,1,flat,summed,non,cooc,space,R4,0.778235038917797
9953,M882,yes,no,1,flat,summed,non,cooc,graph,R4,0.33155863040952166
9954,M883,yes,no,1,linear,forward,log,distance,space,R4,0.746608680596312
9955,M884,yes,no,1,linear,forward,log,distance,graph,R4,0.7326098361345252
9956,M885,yes,no,1,linear,forward,log,cos,space,R4,0.7550368318572646
9957,M886,yes,no,1,linear,forward,log,cos,graph,R4,0.7230179244597604
9958,M887,yes,no,1,linear,forward,log,corr,space,R4,-0.746608680596312
9959,M888,yes,no,1,linear,forward,log,corr,graph,R4,-0.3469613859806821
9960,M889,yes,no,1,linear,forward,log,r_distance,space,R4,0.744486019761669
9961,M890,yes,no,1,linear,forward,log,r_distance,graph,R4,0.7160849064645909
9962,M891,yes,no,1,linear,forward,log,r_cos,space,R4,0.0013828321169400927
9963,M892,yes,no,1,linear,forward,log,r_cos,graph,R4,-0.04119787976557957
9964,M893,yes,no,1,linear,forward,log,r_corr,space,R4,0.25609672088826446
9965,M894,yes,no,1,linear,forward,log,r_corr,graph,R4,0.3255952958426023
9966,M895,yes,no,1,linear,forward,log,cooc,space,R4,0.5624822307375182
9967,M896,yes,no,1,linear,forward,log,cooc,graph,R4,0.8923291502596835
9968,M897,yes,no,1,linear,forward,ppmi,distance,space,R4,0.7275223652300866
9969,M898,yes,no,1,linear,forward,ppmi,distance,graph,R4,0.651616140423278
9970,M899,yes,no,1,linear,forward,ppmi,cos,space,R4,0.7550368318572646
9971,M900,yes,no,1,linear,forward,ppmi,cos,graph,R4,0.7230179244597604
9972,M901,yes,no,1,linear,forward,ppmi,corr,space,R4,-0.7201955146591721
9973,M902,yes,no,1,linear,forward,ppmi,corr,graph,R4,-0.3219299623206478
9974,M903,yes,no,1,linear,forward,ppmi,r_distance,space,R4,0.7351360320155208
9975,M904,yes,no,1,linear,forward,ppmi,r_distance,graph,R4,0.6406723059078865
9976,M905,yes,no,1,linear,forward,ppmi,r_cos,space,R4,0.2663109179461327
9977,M906,yes,no,1,linear,forward,ppmi,r_cos,graph,R4,0.03438016862866116
9978,M907,yes,no,1,linear,forward,ppmi,r_corr,space,R4,0.0177003395935185
9979,M908,yes,no,1,linear,forward,ppmi,r_corr,graph,R4,-0.167492730577742
9980,M909,yes,no,1,linear,forward,ppmi,cooc,space,R4,0.5741421797230419
9981,M910,yes,no,1,linear,forward,ppmi,cooc,graph,R4,0.9241003463527458
9982,M911,yes,no,1,linear,forward,non,distance,space,R4,0.6932536536731779
9983,M912,yes,no,1,linear,forward,non,distance,graph,R4,0.6306692804569997
9984,M913,yes,no,1,linear,forward,non,cos,space,R4,0.7550368318572646
9985,M914,yes,no,1,linear,forward,non,cos,graph,R4,0.7230179244597604
9986,M915,yes,no,1,linear,forward,non,corr,space,R4,-0.7381662096968578
9987,M916,yes,no,1,linear,forward,non,corr,graph,R4,-0.0683059035560182
9988,M917,yes,no,1,linear,forward,non,r_distance,space,R4,0.6930564988959113
9989,M918,yes,no,1,linear,forward,non,r_distance,graph,R4,0.661646636808964
9990,M919,yes,no,1,linear,forward,non,r_cos,space,R4,-0.39419110173431177
9991,M920,yes,no,1,linear,forward,non,r_cos,graph,R4,-0.30712310173047663
9992,M921,yes,no,1,linear,forward,non,r_corr,space,R4,-0.18285481218234534
9993,M922,yes,no,1,linear,forward,non,r_corr,graph,R4,-0.4276501992412532
9994,M923,yes,no,1,linear,forward,non,cooc,space,R4,0.5962266576943643
9995,M924,yes,no,1,linear,forward,non,cooc,graph,R4,0.7040129269942076
9996,M925,yes,no,1,linear,backward,log,distance,space,R4,0.7277798417832786
9997,M926,yes,no,1,linear,backward,log,distance,graph,R4,0.7541342007260965
9998,M927,yes,no,1,linear,backward,log,cos,space,R4,0.7550368318572646
9999,M928,yes,no,1,linear,backward,log,cos,graph,R4,0.7230179244597604
10000,M929,yes,no,1,linear,backward,log,corr,space,R4,-0.7277798417832786
10001,M930,yes,no,1,linear,backward,log,corr,graph,R4,-0.7616788118559139
10002,M931,yes,no,1,linear,backward,log,r_distance,space,R4,0.7243214910435355
10003,M932,yes,no,1,linear,backward,log,r_distance,graph,R4,0.5378289750728248
10004,M933,yes,no,1,linear,backward,log,r_cos,space,R4,0.32067251792743806
10005,M934,yes,no,1,linear,backward,log,r_cos,graph,R4,0.20707038318769116
10006,M935,yes,no,1,linear,backward,log,r_corr,space,R4,-0.7352602301442671
10007,M936,yes,no,1,linear,backward,log,r_corr,graph,R4,-0.4926127022384028
10008,M937,yes,no,1,linear,backward,log,cooc,space,R4,0.4951906060767511
10009,M938,yes,no,1,linear,backward,log,cooc,graph,R4,0.8623773312083418
10010,M939,yes,no,1,linear,backward,ppmi,distance,space,R4,0.7598755912579385
10011,M940,yes,no,1,linear,backward,ppmi,distance,graph,R4,0.3436981457790706
10012,M941,yes,no,1,linear,backward,ppmi,cos,space,R4,0.7550368318572646
10013,M942,yes,no,1,linear,backward,ppmi,cos,graph,R4,0.7230179244597604
10014,M943,yes,no,1,linear,backward,ppmi,corr,space,R4,-0.7279288697035506
10015,M944,yes,no,1,linear,backward,ppmi,corr,graph,R4,-0.7584582054827328
10016,M945,yes,no,1,linear,backward,ppmi,r_distance,space,R4,0.7586884711341174
10017,M946,yes,no,1,linear,backward,ppmi,r_distance,graph,R4,0.3413015478976923
10018,M947,yes,no,1,linear,backward,ppmi,r_cos,space,R4,0.3426758361332492
10019,M948,yes,no,1,linear,backward,ppmi,r_cos,graph,R4,0.3876991276941512
10020,M949,yes,no,1,linear,backward,ppmi,r_corr,space,R4,-0.15170739065800806
10021,M950,yes,no,1,linear,backward,ppmi,r_corr,graph,R4,0.0634081444211812
10022,M951,yes,no,1,linear,backward,ppmi,cooc,space,R4,0.4891473634393685
10023,M952,yes,no,1,linear,backward,ppmi,cooc,graph,R4,0.9241003463527458
10024,M953,yes,no,1,linear,backward,non,distance,space,R4,0.6924049605966377
10025,M954,yes,no,1,linear,backward,non,distance,graph,R4,0.657329752446971
10026,M955,yes,no,1,linear,backward,non,cos,space,R4,0.7550368318572646
10027,M956,yes,no,1,linear,backward,non,cos,graph,R4,0.7230179244597604
10028,M957,yes,no,1,linear,backward,non,corr,space,R4,-0.7090460732737964
10029,M958,yes,no,1,linear,backward,non,corr,graph,R4,-0.7302048329413807
10030,M959,yes,no,1,linear,backward,non,r_distance,space,R4,0.6971569943504224
10031,M960,yes,no,1,linear,backward,non,r_distance,graph,R4,0.4759153312883316
10032,M961,yes,no,1,linear,backward,non,r_cos,space,R4,0.1322122491606846
10033,M962,yes,no,1,linear,backward,non,r_cos,graph,R4,-0.11400693572414139
10034,M963,yes,no,1,linear,backward,non,r_corr,space,R4,0.14096226448078858
10035,M964,yes,no,1,linear,backward,non,r_corr,graph,R4,-0.3377888134948619
10036,M965,yes,no,1,linear,backward,non,cooc,space,R4,0.5001969587624557
10037,M966,yes,no,1,linear,backward,non,cooc,graph,R4,0.7040129269942076
10038,M967,yes,no,1,linear,summed,log,distance,space,R4,0.7049447716007975
10039,M968,yes,no,1,linear,summed,log,distance,graph,R4,0.7510823049357614
10040,M969,yes,no,1,linear,summed,log,cos,space,R4,0.730819128755729
10041,M970,yes,no,1,linear,summed,log,cos,graph,R4,0.6342057948596616
10042,M971,yes,no,1,linear,summed,log,corr,space,R4,-0.7214578720265177
10043,M972,yes,no,1,linear,summed,log,corr,graph,R4,-0.5027840659072804
10044,M973,yes,no,1,linear,summed,log,r_distance,space,R4,0.7217665281092415
10045,M974,yes,no,1,linear,summed,log,r_distance,graph,R4,0.7752977084449343
10046,M975,yes,no,1,linear,summed,log,r_cos,space,R4,-0.29802961599428934
10047,M976,yes,no,1,linear,summed,log,r_cos,graph,R4,-0.2990436755807877
10048,M977,yes,no,1,linear,summed,log,r_corr,space,R4,0.6769706206594479
10049,M978,yes,no,1,linear,summed,log,r_corr,graph,R4,0.5749885167236669
10050,M979,yes,no,1,linear,summed,log,cooc,space,R4,0.7579564538086001
10051,M980,yes,no,1,linear,summed,log,cooc,graph,R4,0.8624971929939822
10052,M981,yes,no,1,linear,summed,ppmi,distance,space,R4,0.732875561813725
10053,M982,yes,no,1,linear,summed,ppmi,distance,graph,R4,0.30425993322151074
10054,M983,yes,no,1,linear,summed,ppmi,cos,space,R4,0.7330285513512116
10055,M984,yes,no,1,linear,summed,ppmi,cos,graph,R4,0.6348714422430727
10056,M985,yes,no,1,linear,summed,ppmi,corr,space,R4,-0.7058411053805353
10057,M986,yes,no,1,linear,summed,ppmi,corr,graph,R4,-0.08497920205086217
10058,M987,yes,no,1,linear,summed,ppmi,r_distance,space,R4,0.7337758529413765
10059,M988,yes,no,1,linear,summed,ppmi,r_distance,graph,R4,0.4131890534015336
10060,M989,yes,no,1,linear,summed,ppmi,r_cos,space,R4,0.5341540468230407
10061,M990,yes,no,1,linear,summed,ppmi,r_cos,graph,R4,0.24865849161935238
10062,M991,yes,no,1,linear,summed,ppmi,r_corr,space,R4,0.2975923961572249
10063,M992,yes,no,1,linear,summed,ppmi,r_corr,graph,R4,0.20678709701113776
10064,M993,yes,no,1,linear,summed,ppmi,cooc,space,R4,0.7492136709855813
10065,M994,yes,no,1,linear,summed,ppmi,cooc,graph,R4,0.524195911773472
10066,M995,yes,no,1,linear,summed,non,distance,space,R4,0.7049553309406247
10067,M996,yes,no,1,linear,summed,non,distance,graph,R4,0.6653911561808876
10068,M997,yes,no,1,linear,summed,non,cos,space,R4,0.7567535416027024
10069,M998,yes,no,1,linear,summed,non,cos,graph,R4,0.6551135023101823
10070,M999,yes,no,1,linear,summed,non,corr,space,R4,-0.2870944207278122
10071,M1000,yes,no,1,linear,summed,non,corr,graph,R4,-0.178568743930817
10072,M1001,yes,no,1,linear,summed,non,r_distance,space,R4,0.7056754341570829
10073,M1002,yes,no,1,linear,summed,non,r_distance,graph,R4,0.6490695248541459
10074,M1003,yes,no,1,linear,summed,non,r_cos,space,R4,0.14551228566860216
10075,M1004,yes,no,1,linear,summed,non,r_cos,graph,R4,-0.1421629825867889
10076,M1005,yes,no,1,linear,summed,non,r_corr,space,R4,0.04359267608471215
10077,M1006,yes,no,1,linear,summed,non,r_corr,graph,R4,0.10747837619074335
10078,M1007,yes,no,1,linear,summed,non,cooc,space,R4,0.778235038917797
10079,M1008,yes,no,1,linear,summed,non,cooc,graph,R4,0.33155863040952166
10080,M1009,yes,no,2,flat,forward,log,distance,space,R4,0.7172999575084805
10081,M1010,yes,no,2,flat,forward,log,distance,graph,R4,0.6144380236115801
10082,M1011,yes,no,2,flat,forward,log,cos,space,R4,0.7106904387002744
10083,M1012,yes,no,2,flat,forward,log,cos,graph,R4,0.6855988902044725
10084,M1013,yes,no,2,flat,forward,log,corr,space,R4,0.2630176998113811
10085,M1014,yes,no,2,flat,forward,log,corr,graph,R4,0.25518138546061914
10086,M1015,yes,no,2,flat,forward,log,r_distance,space,R4,0.7025121235990698
10087,M1016,yes,no,2,flat,forward,log,r_distance,graph,R4,0.6993719611579357
10088,M1017,yes,no,2,flat,forward,log,r_cos,space,R4,0.10192032310086079
10089,M1018,yes,no,2,flat,forward,log,r_cos,graph,R4,0.14562943920216803
10090,M1019,yes,no,2,flat,forward,log,r_corr,space,R4,-0.28989298056848417
10091,M1020,yes,no,2,flat,forward,log,r_corr,graph,R4,-0.09429673381130826
10092,M1021,yes,no,2,flat,forward,log,cooc,space,R4,0.5627492529215855
10093,M1022,yes,no,2,flat,forward,log,cooc,graph,R4,0.7692852965025415
10094,M1023,yes,no,2,flat,forward,ppmi,distance,space,R4,0.7368198982689028
10095,M1024,yes,no,2,flat,forward,ppmi,distance,graph,R4,0.373969603710172
10096,M1025,yes,no,2,flat,forward,ppmi,cos,space,R4,0.7463716187930282
10097,M1026,yes,no,2,flat,forward,ppmi,cos,graph,R4,0.4073426083987816
10098,M1027,yes,no,2,flat,forward,ppmi,corr,space,R4,-0.2930820090985136
10099,M1028,yes,no,2,flat,forward,ppmi,corr,graph,R4,-0.19152160081744724
10100,M1029,yes,no,2,flat,forward,ppmi,r_distance,space,R4,0.730236097432713
10101,M1030,yes,no,2,flat,forward,ppmi,r_distance,graph,R4,0.5374389655252904
10102,M1031,yes,no,2,flat,forward,ppmi,r_cos,space,R4,0.6376256802017769
10103,M1032,yes,no,2,flat,forward,ppmi,r_cos,graph,R4,0.42248262528378744
10104,M1033,yes,no,2,flat,forward,ppmi,r_corr,space,R4,0.6638580116584708
10105,M1034,yes,no,2,flat,forward,ppmi,r_corr,graph,R4,0.4385512080628277
10106,M1035,yes,no,2,flat,forward,ppmi,cooc,space,R4,0.5677277766718167
10107,M1036,yes,no,2,flat,forward,ppmi,cooc,graph,R4,0.7767913433475007
10108,M1037,yes,no,2,flat,forward,non,distance,space,R4,0.7601203809157309
10109,M1038,yes,no,2,flat,forward,non,distance,graph,R4,0.6385860850208013
10110,M1039,yes,no,2,flat,forward,non,cos,space,R4,0.7457183165865656
10111,M1040,yes,no,2,flat,forward,non,cos,graph,R4,0.44475089748151253
10112,M1041,yes,no,2,flat,forward,non,corr,space,R4,0.7446895977059109
10113,M1042,yes,no,2,flat,forward,non,corr,graph,R4,0.4466668364855375
10114,M1043,yes,no,2,flat,forward,non,r_distance,space,R4,0.7149853400270076
10115,M1044,yes,no,2,flat,forward,non,r_distance,graph,R4,0.6104434715371504
10116,M1045,yes,no,2,flat,forward,non,r_cos,space,R4,0.3312989155148344
10117,M1046,yes,no,2,flat,forward,non,r_cos,graph,R4,0.2751360709365026
10118,M1047,yes,no,2,flat,forward,non,r_corr,space,R4,0.040094318373515514
10119,M1048,yes,no,2,flat,forward,non,r_corr,graph,R4,0.18680405289244215
10120,M1049,yes,no,2,flat,forward,non,cooc,space,R4,0.5962266576943643
10121,M1050,yes,no,2,flat,forward,non,cooc,graph,R4,0.656035431585621
10122,M1051,yes,no,2,flat,backward,log,distance,space,R4,0.7272013767347817
10123,M1052,yes,no,2,flat,backward,log,distance,graph,R4,0.633579338755566
10124,M1053,yes,no,2,flat,backward,log,cos,space,R4,0.7241923740088668
10125,M1054,yes,no,2,flat,backward,log,cos,graph,R4,0.5669724077162945
10126,M1055,yes,no,2,flat,backward,log,corr,space,R4,0.08798118226799011
10127,M1056,yes,no,2,flat,backward,log,corr,graph,R4,0.09115170186130488
10128,M1057,yes,no,2,flat,backward,log,r_distance,space,R4,0.7358168973602645
10129,M1058,yes,no,2,flat,backward,log,r_distance,graph,R4,0.6433940074271284
10130,M1059,yes,no,2,flat,backward,log,r_cos,space,R4,0.5584657623354005
10131,M1060,yes,no,2,flat,backward,log,r_cos,graph,R4,0.5000058553617444
10132,M1061,yes,no,2,flat,backward,log,r_corr,space,R4,0.40678116338287035
10133,M1062,yes,no,2,flat,backward,log,r_corr,graph,R4,0.45903006553037845
10134,M1063,yes,no,2,flat,backward,log,cooc,space,R4,0.6113240993567772
10135,M1064,yes,no,2,flat,backward,log,cooc,graph,R4,0.7462883841386955
10136,M1065,yes,no,2,flat,backward,ppmi,distance,space,R4,0.7471070870754495
10137,M1066,yes,no,2,flat,backward,ppmi,distance,graph,R4,0.33631959479145346
10138,M1067,yes,no,2,flat,backward,ppmi,cos,space,R4,0.7479557801519896
10139,M1068,yes,no,2,flat,backward,ppmi,cos,graph,R4,0.5783645447381566
10140,M1069,yes,no,2,flat,backward,ppmi,corr,space,R4,-0.2085470350807167
10141,M1070,yes,no,2,flat,backward,ppmi,corr,graph,R4,-0.3835492987302973
10142,M1071,yes,no,2,flat,backward,ppmi,r_distance,space,R4,0.7334508439347587
10143,M1072,yes,no,2,flat,backward,ppmi,r_distance,graph,R4,0.36495023047424285
10144,M1073,yes,no,2,flat,backward,ppmi,r_cos,space,R4,0.5657696663880486
10145,M1074,yes,no,2,flat,backward,ppmi,r_cos,graph,R4,0.47359843191947454
